Cislo zastavky;Zemepisna sirka;Zemepisna dlzka;Stat;Okres;Obec;Cast obce;Nazov zastavky
17;48,936011;18,797269;SK;TR;Abramová;;
18;48,929814;18,807656;SK;TR;Abramová;Laclavá;
19;48,91278;18,801611;SK;TR;Abramová;Laclavá;rázc,
212;49.3326721;19.3829973;SK;NO;Babín;;
213;49,331068;19,378124;SK;NO;Babín;;Šilák
222;49,149572;18,650572;SK;ZA;Lietavská Svinná;Babkov;horáreň
223;49,15821;18,644;SK;ZA;Lietavská Svinná;Babkov;Imrišek
224;49,155597;18,634842;SK;ZA;Lietavská Svinná;Babkov;konečná
698;49,246853;18,974658;SK;ZA;Belá;;Bránica
700;49,234675;18,946515;SK;ZA;Belá;;Diblov most
701;49,230247;18,947877;SK;ZA;Belá;;Ivanov most
703;49,225595;18,949138;SK;ZA;Belá;;konečná
704;49,247868;18,992279;SK;ZA;Belá;;Mažgutovia
706;49,247058;18,962217;SK;ZA;Belá;;osada Zlieň
707;49.0028355;18.9793945;SK;ZA;Belá;;OcÚ
708;49,24308;18,955167;SK;ZA;Belá;;RD
709;49,266115;18,96942;SK;ZA;Belá;Kubíková;Mackovčin
710;49,270568;18,974781;SK;ZA;Belá;Kubíková;obec
711;49,244761;18,962537;SK;ZA;Belá;Kubíková;rázc,
712;49,249531;19,000595;SK;ZA;Belá;;Nižné Kamence
713;49,253104;19,011738;SK;ZA;Terchová;;Vyšné Kamence
780;0;0;SK;MT;Belá-Dulice;;Bel,dol,Havranovo
781;49,006944;18,967894;SK;MT;Belá-Dulice;;dvor RD
782;49,001394;18,98427;SK;MT;Belá-Dulice;;garáž
783;49,005405;18,972577;SK;MT;Belá-Dulice;;Kuchárik
784;49,00289;18,979311;SK;MT;Belá-Dulice;;OcÚ
785;49,001744;18,990549;SK;MT;Belá-Dulice;;Pod skalou
786;48,999976;18,979062;SK;MT;Belá-Dulice;;rázc,
875;49,077532;19,681466;SK;LM;Beňadiková;;kult,dom
876;49,070431;19,672412;SK;LM;Beňadiková;;rázc,
877;49,074431;19,679486;SK;LM;Beňadiková;;PD
878;49,41419;19,33459;SK;NO;Beňadovo;;II
879;49,430818;19,341253;SK;NO;Beňadovo;;Blahut
880;49,425989;19,327233;SK;NO;Beňadovo;;rázc,
977;48,99462;18,870863;SK;MT;Benice;;stred
979;0;0;SK;LM;Beniky;;rázc,
1106;49,100411;19,440032;SK;RK;Bešeňová;;Jednota
1107;49,099118;19,433898;SK;RK;Bešeňová;;hotel Sumit
1414;49,204745;18,675971;SK;ZA;Bitarová;;cint,
1415;49,20973;18,673197;SK;ZA;Bitarová;;Labuda
1535;48,942517;18,924066;SK;MT;Blatnica;;dvor RD
1536;48.93776355;18.92497643290063;SK;MT;Blatnica;;Jednota
1537;48,933016;18,92815;SK;MT;Blatnica;;hor,koniec
1563;48,938376;18,840968;SK;TR;Blážovce;;OcÚ
1564;48,938003;18,830125;SK;TR;Blážovce;;rázc,
1645;49,429409;19,534231;SK;NO;Bobrov;;Barčák
1646;49,431009;19,547064;SK;NO;Bobrov;;Kompan
1647;49,433025;19,551365;SK;NO;Bobrov;;RD
1648;49,42896;19,538892;SK;NO;Bobrov;;ZŠ
1653;49,142783;19,601747;SK;LM;Bobrovček;;OcÚ
1654;49,116998;19,605969;SK;LM;Bobrovec;;Huraj
1655;49,125996;19,619054;SK;LM;Bobrovec;;Luhy
1656;49,119003;19,610459;SK;LM;Bobrovec;;OcÚ
1657;49,119693;19,61147;SK;LM;Bobrovec;;pošta
1658;49,114637;19,602474;SK;LM;Bobrovec;;rázc,
1659;49,118065;19,614551;SK;LM;Bobrovec;;ZŠ
1660;49,122924;19,615725;SK;LM;Bobrovec;;Rakovica
1661;49,104332;19,596364;SK;LM;Bobrovec;;Škorupovo
1662;49,12915;19,62139;SK;LM;Jalovec;;Bobrovecká vápenica
1663;49,115319;19,47713;SK;LM;Bobrovník;;Jednota otoč,
1664;49,121981;19,477692;SK;LM;Bobrovník;;rázc,
1665;49,126413;19,475182;SK;LM;Bobrovník;;ŠM bytovky
1666;49,120538;19,488522;SK;LM;Bobrovník;Hliník;rázc,
1679;48,904575;18,850063;SK;TR;Bodorová;;výskumný ústav
2615;49,384707;19,384743;SK;NO;Breza;;I
2616;49,384827;19,373388;SK;NO;Breza;;II
2617;49,38139;19,364069;SK;NO;Breza;;rázc,Beňadovo
2618;49,383945;19,358359;SK;NO;Breza;;RD
2619;49,186496;18,66998;SK;ZA;Brezany;;konečná
2620;49,192563;18,676898;SK;ZA;Brezany;;obec
2621;49,199686;18,684253;SK;ZA;Brezany;;rázc,Bitarová
2622;49,189484;18,6718;SK;ZA;Brezany;;stred
2709;49,341347;19,651199;SK;TS;Brezovica;;
2710;49,346009;19,647684;SK;TS;Brezovica;;dolný koniec
2716;48,916461;18,737834;SK;TR;Brieštie;;
3394;48,871006;18,762673;SK;TR;Budiš;;Dolinka
3395;48,873341;18,75709;SK;TR;Budiš;;OcÚ
3396;48,875916;18,737436;SK;TR;Budiš;;rázc,
3397;48,870755;18,765783;SK;TR;Budiš;;žriedlo
3518;49,134176;19,470735;SK;LM;Bukovina;;kult,dom
3519;49,138268;19,4675;SK;LM;Bukovina;;polesie
3799;49,223239;18,564562;SK;BY;Bytča;;aut,st,
3800;49,18629;18,493007;SK;BY;Bytča;Beňov;
